5,7001,Prasanna Acharya,"Sambalpur, Sambalpur, Sambalpur",Orissa,Yes
12,7264,Mani Shankar Aiyar,"Mayiladuturai, Mayiladuthurai, Mayiladuthurai",Nominated,Yes
14,7266,Ajit Singh,"Baghpat, Baghpat, Baghpat, Baghpat, Baghpat, Baghpat",Uttar Pradesh,Yes
15,9235,Margaret Alva,Kanara,"Karnataka, Karnataka, Karnataka, Karnataka",Yes
18,7281,Prakash Yashwant Ambedkar,"Akola, Akola",Nominated,Yes
19,7730,Amir Alam Khan,Kairana,Uttar Pradesh,Yes
24,7008,Ramdas Athawale,"Mumbai North Central, Pandharpur, Pandharpur",Maharashtra,Yes
28,7010,Raj Babbar,"Agra, Agra, Firozabad","Uttarakhand, Uttar Pradesh",Yes
42,7354,Pawan Kumar Bansal,"Chandigarh, Chandigarh, Chandigarh, Chandigarh",Punjab,Yes
69,7428,Bijoya Chakravarty,"Gauhati, Gauhati, Gauhati",Assam,Yes
72,9117,Chandra Shekhar,"Ballia, Ballia, Ballia, Ballia, Ballia, Ballia, Ballia, Ballia","Uttar Pradesh, Uttar Pradesh, Uttar Pradesh",Yes
74,8655,Satyavrat Chaturvedi,Khajuraho,"Madhya Pradesh, Uttarakhand",Yes
84,7444,Ajay Singh Chautala,Bhiwani,Haryana,Yes
100,9124,Renuka Chowdhury,"Khammam, Khammam","Andhra Pradesh, Andhra Pradesh, Andhra Pradesh",Yes
112,7515,T.T.V. Dhinakaran,Periyakulam,Tamil Nadu,Yes
117,7046,Shamsher Singh Dullo,Ropar,Punjab,Yes
122,7543,George Fernandes,"Bombay South, Muzaffarpur, Muzaffarpur, Muzaffarpur, Muzaffarpur, Nalanda, Nalanda, Nalanda, Muzaffarpur",Bihar,Yes
141,7053,Vijay Goel,"Delhi Sadar, Chandni Chowk, Chandni Chowk",Rajasthan,Yes
149,7607,Bijoy Krishna Handique,"Jorhat, Jorhat, Jorhat, Jorhat, Jorhat, Jorhat",Assam,Yes
158,7643,Jagmohan,"New Delhi, New Delhi, New Delhi",Nominated,Yes
159,8113,Jai Prakash,"Hardoi, Hardoi, Hardoi, Mohanlalganj, Hardoi",Uttar Pradesh,Yes
166,7073,Satyanarayan Jatiya,"Ujjain, Ujjain, Ujjain, Ujjain, Ujjain, Ujjain, Ujjain",Madhya Pradesh,Yes
172,8749,Murli Manohar Joshi,"Almora, Allahabad, Allahabad, Allahabad, Varanasi, Kanpur","Uttar Pradesh, Uttar Pradesh",Yes
173,7677,Manohar Joshi,Mumbai-North-Central,Maharashtra,Yes
179,9146,K. Karunakaran,"Thiruvananthapuram, Mukundapuram","Kerala, Kerala, Kerala",Yes
188,7726,Brijlal Khabri,Jalaun,Uttar Pradesh,Yes
207,7770,Faggan Singh Kulaste,"Mandla, Mandla, Mandla, Mandla, Mandla, Mandla",Madhya Pradesh,Yes
229,7846,K. Malaisamy,Ramanathapuram,Tamil Nadu,Yes
230,7849,Vijay Kumar Malhotra,"South Delhi, Delhi Sadar, South Delhi, South Delhi",Delhi,Yes
243,9156,Murasoli Maran,"Madras South, Madras South, Madras Central, Madras Central, Chennai Central","Tamil Nadu, Tamil Nadu, Tamil Nadu",Yes
269,7977,Nagmani,Chatra,Bihar,Yes
274,7114,Ranee Narah,"Lakhimpur, Lakhimpur, Lakhimpur",Assam,Yes
296,7125,Ram Vilas Paswan,"Hajipur, Hajipur, Hajipur, Rosera, Hajipur, Hajipur, Hajipur, Hajipur, Hajipur","Bihar, Bihar",Yes
337,7668,Jitendra Prasada,"Shahjahanpur, Shahjahanpur, Shahjahanpur, Shahjahanpur",Uttar Pradesh,Yes
355,7141,Ram Shakal,"Robertsganj, Robertsganj, Robertsganj",Bhadrak,Yes
363,8930,Praveen Rashtrapal,Patan,"Gujarat, Gujarat",Yes
385,8953,Rajiv Pratap Rudy,"Chapra, Chapra, Saran, Saran","Bihar, Bihar",Yes
407,8308,T.M. Selvaganapathi,Salem,Tamil Nadu,Yes
418,8328,Shanta Kumar,"Kangra, Kangra, Kangra, Kangra",Himachal Pradesh,Yes
419,9204,Satish Sharma,"Amethi, Amethi, Rae Bareli","Uttar Pradesh, Uttarakhand, Madhya Pradesh",Yes
428,7628,Inder Singh,Rohtak,Uttar Pradesh,No
437,7337,Balbir Singh,Jullundur,Punjab,Yes
449,7829,Maheshwar Singh,"Mandi, Mandi, Mandi",Himachal Pradesh,Yes
464,9022,Yashwant Sinha,"Hazaribagh, Hazaribagh, Hazaribagh","Jharkhand, Bihar",Yes
488,9053,Narayan Datt Tiwari,"Nainital, Nainital, Nainital","Uttar Pradesh, Uttar Pradesh",Yes
498,7217,Vaiko,"Sivakasi, Sivakasi","Tamil Nadu, Tamil Nadu, Tamil Nadu, Tamil Nadu",Yes
499,9060,Atal Bihari Vajpayee,"Balrampur, Balrampur, Gwalior, New Delhi, New Delhi, Lucknow, Lucknow, Lucknow, Lucknow, Lucknow","Madhya Pradesh, Uttar Pradesh",Yes
509,7224,Beni Prasad Verma,"Kaiserganj, Kaiserganj, Kaiserganj, Kaiserganj, Gonda",Uttar Pradesh,Yes
511,7227,Ravi Prakash Verma,"Kheri, Kheri, Kheri",Uttar Pradesh,Yes
529,9084,Jagdambi Prasad Yadav,"Godda, Godda, Godda, Godda","Bihar, Bihar",Yes
532,9265,Sharad Yadav,"Jabalpur, Jabalpur, Budaun, Madhepura, Madhepura, Madhepura, Madhepura","Bihar, Bihar, Bihar, Uttar Pradesh",Yes
540,9247,Pramod Mahajan,Mumbai North East,"Maharashtra, Maharashtra, Maharashtra, Maharashtra",Yes
545,9275,Ram Jethmalani,"Bombay North West, Bombay North West","Bihar, Rajasthan, Bhadrak, Maharashtra, Maharashtra, Karnataka",Yes
546,8304,P.M. Sayeed,"Laccadive, Minicoy and Amindivi Islands, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep",Delhi,Yes
552,8389,Jaswant Singh,"Jodhpur, Chittorgarh, Chittorgarh, Darjeeling",Rajasthan,Yes
583,7266,Ajit Singh,"Kapurthala-Bhatinda, Bhatinda",Uttar Pradesh,No
588,7277,Joachim Alva,"Kanara, Kanara, Kanara",Nominated,Yes
592,8602,Anand Chand,Bilaspur,"Bihar, Bihar",Yes
647,9118,Maragatham Chandrasekhar,"Tiruvallur, Mayuram, Sriperumbudur, Sriperumbudur, Sriperumbudur","Nominated, Nominated, Nominated",Yes
655,7442,Ganeshi Lal Chaudhary,Shahjahanpur Distt. (North) cum Kheri (East),Uttar Pradesh,Yes
658,8659,Tridib Chaudhuri,"Berhampore, Berhampore, Berhampore, Berhampore, Berhampore, Berhampore, Berhampore","West Bengal, West Bengal",Yes
683,8679,Suresh Chandra Deb,Cachar-Lusai Hills,"Assam, Assam",Yes
696,7517,Sohan Lal Dhusiya,Basti Distt. Central (East) Cum Gorakhpur Distt.(West),Uttar Pradesh,Yes
719,8704,Surendra Mohan Ghose,Malda,"West Bengal, West Bengal",Yes
748,7631,Iqbal Singh,"Fazilka-Sirsa, Ferozepur, Ferozepur, Fazilka",Punjab,Yes
751,7644,Ajit Prasad Jain,"Saharanpur Distt.(West) cum Muzaffarnagar Distt.(North), Saharanpur, Tumkur",Uttar Pradesh,Yes
764,8744,Jogendra Singh,"Bahraich Distt. (West), Bahraich Distt. (West)","Uttar Pradesh, Uttar Pradesh",Yes
765,8747,Jethalal Harikrishna Joshi,Madhya Saurashtra,"Bombay, Bombay",Yes
782,7713,Nemi Chandra Kasliwal,"Kotah-Jhalwar, Kota",Rajasthan,Yes
787,8767,Rishang Keishing,"Outer Manipur, Outer Manipur","Manipur, Manipur",Yes
793,8779,Mehr Chand Khanna,New Delhi,"West Bengal, Delhi",Yes
805,8788,M.R. Krishna,"Karimnagar, Karimnagar, Peddapalli, Peddapalli","Andhra Pradesh, Andhra Pradesh",Yes
806,7758,Krishna Chandra,"Mathura Distt West, Jalesar",Uttar Pradesh,Yes
817,7813,N.M. Lingam,Coimbatore,Nominated,Yes
852,8832,Lalit Narayan Mishra,"Darbhanga cum Bhagalpur, Saharsa, Darbhanga","Bihar, Bihar",Yes
877,8851,Gurmukh Singh Musafir,"Amritsar, Amritsar, Amritsar","Punjab, Punjab",Yes
900,8011,Uma Nehru,"Sitapur District cum Kheri Distt. West, Sitapur",Uttar Pradesh,Yes
907,8876,C.D. Pande,"Nainital Dist. cum Almora Dist.(South-West)cum Bareilly(North), Nainital","Uttar Pradesh, Uttar Pradesh",Yes
955,8181,Ranjit Singh,"Sangrur, Sangrur",Haryana,No
956,8185,B. Shiva Rao,South Kanara South,Mysore,Yes
1003,8335,Balkrishna Sharma,Kanpur District (South) cum Etawah District (East),Uttar Pradesh,Yes
1012,8992,Lal Bahadur Shastri,"Allahabad, Allahabad","Uttar Pradesh, Uttar Pradesh",Yes
1055,7284,Ammu Swaminadhan,Dindigul,Madras,Yes
1057,8465,Swaran Singh,"Jullundur, Jullundur, Jullundur, Jullundur",Punjab,Yes
1059,8468,Syed Mahmud,"Champaran-East, Gopalganj",Bihar,Yes
1061,8474,Purushottam Das Tandon,Allahabad Distt. West,Uttar Pradesh,Yes
1082,8515,Mahavir Tyagi,"Dehradun Dist.cum Bijnor Dist.(N-West) cum Saharanpur (West), Dehradun, Dehradun",Uttar Pradesh,Yes
1118,7313,Lila Dhar Asthana,Unnao,Uttar Pradesh,Yes
1152,7486,H.C. Dasappa,"Bangalore, Bangalore",Karnataka,Yes
1167,7539,Surendranath Dwivedy,"Kendrapara, Kendrapara, Kendrapara",Orissa,Yes
1179,7560,Bimal Comar Ghose,Barrackpore,West Bengal,Yes
1185,7577,Narayan Ganesh Goray,Poona,Maharashtra,Yes
1225,8056,Parvathi Krishnan,"Coimbatore, Coimbatore, Coimbatore",Tamil Nadu,Yes
1254,9158,Harish Chandra Mathur,"Pali, Jalore","Rajasthan, Rajasthan, Rajasthan",Yes
1267,8841,Surendra Mohanty,"Dhenkanal, Kendrapara","Orissa, Orissa",Yes
1314,8213,Rajaram Balkrishna Raut,Kolaba,Bombay,Yes
1342,8949,Biren Roy,Calcutta South West,"West Bengal, West Bengal",Yes
1357,8975,Vijaya Raje Scindia,"Guna, Gwalior, Guna, Bhind, Guna, Guna, Guna, Guna","Madhya Pradesh, Madhya Pradesh",Yes
1386,8445,P. Subbarayan,Tiruchengode,Madras,Yes
1390,9031,Sumat Prasad,"Muzaffarnagar, Muzaffarnagar","Uttar Pradesh, Uttar Pradesh",Yes
1391,8454,Shraddhakar Supakar,"Sambalpur, Sambalpur",Orissa,Yes
1396,9042,A.M. Tariq,Srinagar,"Jammu and Kashmir, Jammu and Kashmir",Yes
1410,8550,Vijaya Raje,"Chatra, Chatra, Chatra",Bihar,Yes
