5,7001,Prasanna Acharya,"Sambalpur, Sambalpur, Sambalpur",Orissa
12,7264,Mani Shankar Aiyar,"Mayiladuturai, Mayiladuthurai, Mayiladuthurai",Bhadrak
14,7266,Ajit Singh,"Baghpat, Baghpat, Baghpat, Baghpat, Baghpat, Baghpat",Uttar Pradesh
15,9235,Margaret Alva,Kanara,"Karnataka, Karnataka, Karnataka, Karnataka"
18,7281,Prakash Yashwant Ambedkar,"Akola, Akola",Bhadrak
19,7730,Amir Alam Khan,Kairana,Uttar Pradesh
24,7008,Ramdas Athawale,"Mumbai North Central, Pandharpur, Pandharpur",Maharashtra
28,7010,Raj Babbar,"Agra, Agra, Firozabad","Uttarakhand, Uttar Pradesh"
42,7354,Pawan Kumar Bansal,"Chandigarh, Chandigarh, Chandigarh, Chandigarh",Punjab
69,7428,Bijoya Chakravarty,"Gauhati, Gauhati, Gauhati",Assam
72,9117,Chandra Shekhar,"Ballia, Ballia, Ballia, Ballia, Ballia, Ballia, Ballia, Ballia","Uttar Pradesh, Uttar Pradesh, Uttar Pradesh"
74,8655,Satyavrat Chaturvedi,Khajuraho,"Madhya Pradesh, Uttarakhand"
84,7444,Ajay Singh Chautala,Bhiwani,Haryana
100,9124,Renuka Chowdhury,"Khammam, Khammam","Andhra Pradesh, Andhra Pradesh, Andhra Pradesh"
112,7515,T.T.V. Dhinakaran,Periyakulam,Tamil Nadu
117,7046,Shamsher Singh Dullo,Ropar,Punjab
122,7543,George Fernandes,"Bombay South, Muzaffarpur, Muzaffarpur, Muzaffarpur, Muzaffarpur, Nalanda, Nalanda, Nalanda, Muzaffarpur",Bihar
141,7053,Vijay Goel,"Delhi Sadar, Chandni Chowk, Chandni Chowk",Rajasthan
149,7607,Bijoy Krishna Handique,"Jorhat, Jorhat, Jorhat, Jorhat, Jorhat, Jorhat",Assam
158,7643,Jagmohan,"New Delhi, New Delhi, New Delhi",Bhadrak
159,8113,Jai Prakash,"Hardoi, Hardoi, Hardoi, Mohanlalganj, Hardoi",Uttar Pradesh
166,7073,Satyanarayan Jatiya,"Ujjain, Ujjain, Ujjain, Ujjain, Ujjain, Ujjain, Ujjain",Madhya Pradesh
172,8749,Murli Manohar Joshi,"Almora, Allahabad, Allahabad, Allahabad, Varanasi, Kanpur","Uttar Pradesh, Uttar Pradesh"
173,7677,Manohar Joshi,Mumbai-North-Central,Maharashtra
179,9146,K. Karunakaran,"Thiruvananthapuram, Mukundapuram","Kerala, Kerala, Kerala"
188,7726,Brijlal Khabri,Jalaun,Uttar Pradesh
207,7770,Faggan Singh Kulaste,"Mandla, Mandla, Mandla, Mandla, Mandla, Mandla",Madhya Pradesh
229,7846,K. Malaisamy,Ramanathapuram,Tamil Nadu
230,7849,Vijay Kumar Malhotra,"South Delhi, Delhi Sadar, South Delhi, South Delhi",Delhi
243,9156,Murasoli Maran,"Madras South, Madras South, Madras Central, Madras Central, Chennai Central","Tamil Nadu, Tamil Nadu, Tamil Nadu"
269,7977,Nagmani,Chatra,Bihar
274,7114,Ranee Narah,"Lakhimpur, Lakhimpur, Lakhimpur",Assam
296,7125,Ram Vilas Paswan,"Hajipur, Hajipur, Hajipur, Rosera, Hajipur, Hajipur, Hajipur, Hajipur, Hajipur","Bihar, Bihar"
337,7668,Jitendra Prasada,"Shahjahanpur, Shahjahanpur, Shahjahanpur, Shahjahanpur",Uttar Pradesh
355,7141,Ram Shakal,"Robertsganj, Robertsganj, Robertsganj",Bhadrak
363,8930,Praveen Rashtrapal,Patan,"Gujarat, Gujarat"
